,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.174494,-0.0473871,0.0884132,0.132615
5,5,0.174494,-0.0473871,0.0884132,0.132615
5,5,0.178229,-0.0716046,0.107294,0.160936
5,5,0.169063,-0.0474681,0.101732,0.152593
5,5,0.172786,-0.051166,0.0867858,0.130174
5,5,0.179834,-0.048339,0.0940941,0.141136
5,5,0.179834,-0.048339,0.0940941,0.141136
5,5,0.164059,-0.00232572,0.0611777,0.0917639
5,5,0.163588,0.0275543,0.0354926,0.0532373
5,5,0.159664,-0.0215921,0.0851501,0.127721
5,5,0.162202,6.78748e-05,0.063713,0.0955664
5,5,0.170983,-0.0633771,0.121589,0.182377
5,5,0.170372,-0.0316092,0.0875,0.131246
5,5,0.167236,-0.0430267,0.103443,0.15516
5,5,0.162788,0.0220493,0.0492234,0.0738329
5,5,0.162984,0.0254359,0.040069,0.0601017
5,5,0.162305,0.0136781,0.0563465,0.0845172
5,5,0.114452,0.209005,0.0110875,0.0166307
5,5,0.111162,0.238795,-0.00661122,-0.00991656
5,5,0.10544,0.213974,0.012017,0.0180251
5,5,0.108122,0.236412,0.000687623,0.00103141
5,5,0.121584,0.210825,0.000880379,0.00132053
5,5,0.140125,0.141336,0.0346151,0.0519208
5,5,0.101653,0.0937751,0.13977,0.209647
5,5,0.102296,0.199494,0.0280671,0.0420994
5,5,0.102875,0.168179,0.0473182,0.0709751
5,5,0.13199,0.230708,-0.0162162,-0.0243236
5,5,0.109631,0.255951,-0.00520806,-0.00781188
5,5,0.0945269,0.215384,0.0139571,0.0209351
5,5,0.12647,0.189971,0.020644,0.0309651
5,5,0.089508,0.223432,0.0352126,0.0528172
5,5,0.0898408,0.238268,0.0316004,0.0473992
5,5,0.116159,0.163863,0.0470426,0.0705615
5,5,0.150239,0.121931,0.0435809,0.0653689
5,5,0.107639,0.0183751,0.111332,0.166992
5,5,0.140918,0.130427,0.0748486,0.112268
